channel,rank,logo,watch_time_m,stream_time_m,peak_viewers,avg_viewers,followers,partnered,mature,language,url,t_subs,start,income,stream_time_h/m
ASOT,61,https://static-cdn.jtvnw.net/jtv_user_pictures/500d4c3e-3b67-47f8-a559-cfd33f615648-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,7845405,127905,783,61,83520,TRUE,FALSE,English,https://www.twitch.tv/ASOT/about,1000,"Oct 9, 2018",2500,710.58
itsTanuki,62,https://static-cdn.jtvnw.net/jtv_user_pictures/4afb5eb1-92a6-486f-a453-a45803674f3a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,7806120,7290,10021,1071,6220,FALSE,FALSE,English,https://www.twitch.tv/itsTanuki/about,335,"May 11, 2021",837.5,40.50
GlostikWilly,64,https://static-cdn.jtvnw.net/jtv_user_pictures/c2a4c7c9-68f4-44f5-8364-6268506cfc25-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,7490190,19650,6134,381,16167,TRUE,FALSE,English,https://www.twitch.tv/GlostikWilly/about,1241,"May 1, 2016",3102.5,109.17
SarahCoponat,65,https://static-cdn.jtvnw.net/jtv_user_pictures/439c7dfd-54bf-4058-a7db-d2d098393091-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,7486005,8490,7118,882,38237,TRUE,FALSE,English,https://www.twitch.tv/SarahCoponat/about,600,"Feb 17, 2020",1500,47.17
Grym,66,https://static-cdn.jtvnw.net/jtv_user_pictures/c4fb8add-5928-4259-8bea-a43b36a17621-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,7319475,7860,5181,931,31846,TRUE,TRUE,English,https://www.twitch.tv/Grym/about,556,"Oct 1, 2018",1390,43.67
spell316,67,https://static-cdn.jtvnw.net/jtv_user_pictures/a9a0bdfb-eaef-4b90-bc31-470c92ec1fc1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,7316295,6180,10991,1184,36766,TRUE,FALSE,English,https://www.twitch.tv/spell316/about,17,"Apr 21, 2020",42.5,34.33
AllThatRemains,68,https://static-cdn.jtvnw.net/jtv_user_pictures/8ef8b556-85cc-4cd1-9dfa-4f0a5a1c58bb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,7265895,10140,7963,717,9020,TRUE,FALSE,English,https://www.twitch.tv/AllThatRemains/about,330,"Mar 26, 2021",825,56.33
supershigi,69,https://static-cdn.jtvnw.net/jtv_user_pictures/b1ac687c-9310-4a46-9c42-27af8408622f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,7255455,10485,2790,692,49460,TRUE,FALSE,English,https://www.twitch.tv/supershigi/about,4000,"Jul 25, 2012",10000,58.25
AnnieGreen,71,https://static-cdn.jtvnw.net/jtv_user_pictures/fdf280f1-7603-48be-b57a-8c91dcb31dca-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,7115415,6615,6557,1076,25540,TRUE,FALSE,English,https://www.twitch.tv/AnnieGreen/about,250,"Jul 4, 2018",625,36.75
ThomTree,74,https://static-cdn.jtvnw.net/jtv_user_pictures/077176df-4981-44b2-95c4-6c16de0c87c7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6997245,12210,1419,573,42438,TRUE,TRUE,German,https://www.twitch.tv/ThomTree/about,3200,"Jan 1, 2015",8000,67.83
Carola,75,https://static-cdn.jtvnw.net/jtv_user_pictures/791ac228-58c4-4700-beed-86e48132d554-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6860400,405,24679,16939,817103,TRUE,FALSE,Spanish,https://www.twitch.tv/Carola/about,3617,"Dec 24, 2015",9042.5,2.25
Elesky,76,https://static-cdn.jtvnw.net/jtv_user_pictures/78452dfc-5de6-4e94-ad5a-012ea56c11d1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6744300,13125,1096,514,137160,TRUE,FALSE,Spanish,https://www.twitch.tv/Elesky/about,522,"Aug 1, 2018",1305,72.92
Quis_der_Barde,77,https://static-cdn.jtvnw.net/jtv_user_pictures/06c2cbae-58b3-4ab2-9ef3-77adc0598329-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6723210,99405,679,68,14196,TRUE,TRUE,German,https://www.twitch.tv/Quis_der_Barde/about,1800,"Feb 17, 2018",4500,552.25
BellsSpace,78,https://static-cdn.jtvnw.net/jtv_user_pictures/2e7d9f56-dfae-4fb1-a938-061bea926bf2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6683400,7275,11422,919,4756,FALSE,FALSE,English,https://www.twitch.tv/BellsSpace/about,407,"Dec 12, 2020",1017.5,40.42
TechnoLiebenundLebenTV,80,https://static-cdn.jtvnw.net/jtv_user_pictures/5f21e94e-7c81-42ce-92a9-44bcd0d78fa8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6560730,24450,544,268,18304,TRUE,FALSE,German,https://www.twitch.tv/TechnoLiebenundLebenTV/about,334,"May 28, 2016",835,135.83
MOGRA,81,https://static-cdn.jtvnw.net/jtv_user_pictures/9e88f9cd-6d93-4e3c-bc4a-025a5e78dbcb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6354720,16080,3540,395,58002,TRUE,FALSE,Japanese,https://www.twitch.tv/MOGRA/about,22,"Jun 11, 2016",55,89.33
lilcake,82,https://static-cdn.jtvnw.net/jtv_user_pictures/78b865ec-6288-4708-a727-085155d4954b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6350535,6855,5144,926,245282,TRUE,TRUE,Spanish,https://www.twitch.tv/lilcake/about,40,"Jun 18, 2016",100,38.08
matthewkheafy,83,https://static-cdn.jtvnw.net/jtv_user_pictures/4187cd04-247b-4b0b-adf0-d76a9573b9ca-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6346635,16485,12008,385,237291,TRUE,FALSE,English,https://www.twitch.tv/matthewkheafy/about,931,"Mar 27, 2017",2327.5,91.58
