channel,rank,logo,watch_time_m,stream_time_m,peak_viewers,avg_viewers,followers,partnered,mature,language,url,t_subs
willfox,60,https://static-cdn.jtvnw.net/jtv_user_pictures/5e675187-97c8-4d30-b41c-a50868bc0c8d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,7849155,11040,5806,711,28024,TRUE,FALSE,English,https://www.twitch.tv/willfox/about,
ASOT,61,https://static-cdn.jtvnw.net/jtv_user_pictures/500d4c3e-3b67-47f8-a559-cfd33f615648-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,7845405,127905,783,61,83520,TRUE,FALSE,English,https://www.twitch.tv/ASOT/about,
itsTanuki,62,https://static-cdn.jtvnw.net/jtv_user_pictures/4afb5eb1-92a6-486f-a453-a45803674f3a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,7806120,7290,10021,1071,6220,FALSE,FALSE,English,https://www.twitch.tv/itsTanuki/about,
clintonsparks,63,https://static-cdn.jtvnw.net/jtv_user_pictures/af058069-af23-4c81-ac98-61078723f5cf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,7717425,2820,18259,2737,6066,TRUE,FALSE,English,https://www.twitch.tv/clintonsparks/about,
GlostikWilly,64,https://static-cdn.jtvnw.net/jtv_user_pictures/c2a4c7c9-68f4-44f5-8364-6268506cfc25-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,7490190,19650,6134,381,16167,TRUE,FALSE,English,https://www.twitch.tv/GlostikWilly/about,
SarahCoponat,65,https://static-cdn.jtvnw.net/jtv_user_pictures/439c7dfd-54bf-4058-a7db-d2d098393091-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,7486005,8490,7118,882,38237,TRUE,FALSE,English,https://www.twitch.tv/SarahCoponat/about,
Grym,66,https://static-cdn.jtvnw.net/jtv_user_pictures/c4fb8add-5928-4259-8bea-a43b36a17621-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,7319475,7860,5181,931,31846,TRUE,TRUE,English,https://www.twitch.tv/Grym/about,
spell316,67,https://static-cdn.jtvnw.net/jtv_user_pictures/a9a0bdfb-eaef-4b90-bc31-470c92ec1fc1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,7316295,6180,10991,1184,36766,TRUE,FALSE,English,https://www.twitch.tv/spell316/about,
AllThatRemains,68,https://static-cdn.jtvnw.net/jtv_user_pictures/8ef8b556-85cc-4cd1-9dfa-4f0a5a1c58bb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,7265895,10140,7963,717,9020,TRUE,FALSE,English,https://www.twitch.tv/AllThatRemains/about,
supershigi,69,https://static-cdn.jtvnw.net/jtv_user_pictures/b1ac687c-9310-4a46-9c42-27af8408622f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,7255455,10485,2790,692,49460,TRUE,FALSE,English,https://www.twitch.tv/supershigi/about,
Acgn_music_box_01,70,https://static-cdn.jtvnw.net/jtv_user_pictures/153913b7-0f81-44b1-8ca5-0cf06a8e9d5d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,7216800,124335,106,58,6884,FALSE,TRUE,Chinese,https://www.twitch.tv/Acgn_music_box_01/about,
AnnieGreen,71,https://static-cdn.jtvnw.net/jtv_user_pictures/fdf280f1-7603-48be-b57a-8c91dcb31dca-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,7115415,6615,6557,1076,25540,TRUE,FALSE,English,https://www.twitch.tv/AnnieGreen/about,
BoweryPresents,72,https://static-cdn.jtvnw.net/jtv_user_pictures/c2791446-7785-4aa6-ba9b-4e1ac4629ac3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,7039215,1200,35010,5866,13616,TRUE,FALSE,English,https://www.twitch.tv/BoweryPresents/about,
요룰레히 (yodel_ay),73,https://static-cdn.jtvnw.net/jtv_user_pictures/3af03c4c-a090-4902-9b60-97b4b3204395-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,7016520,5475,2008,1282,75117,TRUE,FALSE,Korean,https://www.twitch.tv/요룰레히 (yodel_ay)/about,
ThomTree,74,https://static-cdn.jtvnw.net/jtv_user_pictures/077176df-4981-44b2-95c4-6c16de0c87c7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6997245,12210,1419,573,42438,TRUE,TRUE,German,https://www.twitch.tv/ThomTree/about,
Carola,75,https://static-cdn.jtvnw.net/jtv_user_pictures/791ac228-58c4-4700-beed-86e48132d554-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6860400,405,24679,16939,817103,TRUE,FALSE,Spanish,https://www.twitch.tv/Carola/about,
Elesky,76,https://static-cdn.jtvnw.net/jtv_user_pictures/78452dfc-5de6-4e94-ad5a-012ea56c11d1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6744300,13125,1096,514,137160,TRUE,FALSE,Spanish,https://www.twitch.tv/Elesky/about,
Quis_der_Barde,77,https://static-cdn.jtvnw.net/jtv_user_pictures/06c2cbae-58b3-4ab2-9ef3-77adc0598329-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6723210,99405,679,68,14196,TRUE,TRUE,German,https://www.twitch.tv/Quis_der_Barde/about,
BellsSpace,78,https://static-cdn.jtvnw.net/jtv_user_pictures/2e7d9f56-dfae-4fb1-a938-061bea926bf2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6683400,7275,11422,919,4756,FALSE,FALSE,English,https://www.twitch.tv/BellsSpace/about,
kathleen_e11e,79,https://static-cdn.jtvnw.net/jtv_user_pictures/8c7ee7f4-8f77-4b3f-9692-b86bd6b10c1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6659430,10305,7064,646,7353,FALSE,FALSE,English,https://www.twitch.tv/kathleen_e11e/about,
TechnoLiebenundLebenTV,80,https://static-cdn.jtvnw.net/jtv_user_pictures/5f21e94e-7c81-42ce-92a9-44bcd0d78fa8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6560730,24450,544,268,18304,TRUE,FALSE,German,https://www.twitch.tv/TechnoLiebenundLebenTV/about,
MOGRA,81,https://static-cdn.jtvnw.net/jtv_user_pictures/9e88f9cd-6d93-4e3c-bc4a-025a5e78dbcb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6354720,16080,3540,395,58002,TRUE,FALSE,Japanese,https://www.twitch.tv/MOGRA/about,
lilcake,82,https://static-cdn.jtvnw.net/jtv_user_pictures/78b865ec-6288-4708-a727-085155d4954b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6350535,6855,5144,926,245282,TRUE,TRUE,Spanish,https://www.twitch.tv/lilcake/about,
matthewkheafy,83,https://static-cdn.jtvnw.net/jtv_user_pictures/4187cd04-247b-4b0b-adf0-d76a9573b9ca-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6346635,16485,12008,385,237291,TRUE,FALSE,English,https://www.twitch.tv/matthewkheafy/about,
ThatViolinChick,84,https://static-cdn.jtvnw.net/jtv_user_pictures/30bd7775-e09a-4200-8726-9928c4a20fa0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6265005,10410,19106,602,35379,TRUE,TRUE,English,https://www.twitch.tv/ThatViolinChick/about,
OWN3D_Music,85,https://static-cdn.jtvnw.net/jtv_user_pictures/aa327a79-52c1-49b8-b275-ce1fa4517c5c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6161610,128190,189,48,5895,FALSE,FALSE,English,https://www.twitch.tv/OWN3D_Music/about,
SkratchBastid,86,https://static-cdn.jtvnw.net/jtv_user_pictures/0cb68565-b661-4b23-a36c-139133217e96-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6129525,8100,13809,757,48862,TRUE,FALSE,English,https://www.twitch.tv/SkratchBastid/about,
paratune,87,https://static-cdn.jtvnw.net/jtv_user_pictures/9a9e8ff8-bbe5-458b-a5eb-5cceaf8686b2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6109920,13260,6261,461,8744,TRUE,FALSE,English,https://www.twitch.tv/paratune/about,
Halocene,88,https://static-cdn.jtvnw.net/jtv_user_pictures/6dd78938-e9e9-45f6-80bb-165b73dee16e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,6001110,5325,3046,1127,91646,TRUE,TRUE,English,https://www.twitch.tv/Halocene/about,
jani,89,https://static-cdn.jtvnw.net/jtv_user_pictures/ae3b3538-16c8-49db-9bbf-a086fe05a781-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,5986875,11535,1049,519,42527,TRUE,TRUE,German,https://www.twitch.tv/jani/about,
ThonggDeLonge,90,https://static-cdn.jtvnw.net/jtv_user_pictures/5d4af6b0-d5f8-461c-b82b-34d32a4696b3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,5911695,8970,4079,659,8425,TRUE,FALSE,English,https://www.twitch.tv/ThonggDeLonge/about,
SECRET_GARDEN_DJ_REMINISE,91,https://static-cdn.jtvnw.net/jtv_user_pictures/f7c61ffe-c6a3-4066-bf7c-1f7c79c7af7e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,5903085,119370,150,49,14603,TRUE,FALSE,English,https://www.twitch.tv/SECRET_GARDEN_DJ_REMINISE/about,
The8BitDrummer,92,https://static-cdn.jtvnw.net/jtv_user_pictures/c4138ed0-8cd2-45a5-b1ac-82c9fe938a43-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,5885610,8910,3069,661,385297,TRUE,FALSE,English,https://www.twitch.tv/The8BitDrummer/about,
